fecha,demanda_MWh
2017-12-04,838132.678
2017-12-05,848162.295
2017-12-06,756360.395
2017-12-07,782686.007
2017-12-08,719496.923
2017-12-09,717690.506
2017-12-10,684898.749
2017-12-11,802343.752
2017-12-12,825186.982
2017-12-13,839031.423
2017-12-14,829227.426
2017-12-15,803118.403
2017-12-16,727264.645
2017-12-17,694705.763
2017-12-18,829576.999
2017-12-19,832816.687
2017-12-20,834761.96
2017-12-21,819406.557
2017-12-22,792960.353
2017-12-23,702851.367
2017-12-24,642910.063
2017-12-25,595600.77
2017-12-26,701435.719
2017-12-27,741629.025
2017-12-28,736357.873
2017-12-29,715140.213
2017-12-30,652290.283
2017-12-31,618260.273
2018-01-01,574637.329
2018-01-02,724549.044
2018-01-03,753204.111
2018-01-04,752386.801
2018-01-05,724096.688
2018-01-06,639705.663
2018-01-07,672064.65
2018-01-08,817299.975
2018-01-09,854745.17
2018-01-10,837804.956
2018-01-11,834709.714
2018-01-12,831785.061
2018-01-13,760638.523
2018-01-14,708621.619
2018-01-15,835104.116
2018-01-16,833389.158
2018-01-17,817515.175
2018-01-18,817603.332
2018-01-19,812552.434
2018-01-20,725927.312
2018-01-21,665342.898
2018-01-22,776934.361
2018-01-23,792215.662
2018-01-24,795267.689
2018-01-25,808307.013
2018-01-26,820239.28
2018-01-27,737558.974
2018-01-28,684397.914
2018-01-29,793986.634
2018-01-30,811803.938
2018-01-31,809902.19
2018-02-01,828993.869
2018-02-02,836715.01
2018-02-03,755609.56
2018-02-04,719531.244
2018-02-05,852377.942
2018-02-06,864736.056
2018-02-07,873750.902
2018-02-08,880070.875
2018-02-09,873284.436
2018-02-10,774761.864
2018-02-11,706770.018
2018-02-12,833332.266
2018-02-13,852668.027
2018-02-14,845115.172
2018-02-15,818989.989
2018-02-16,799331.13
2018-02-17,713847.709
2018-02-18,670069.44
2018-02-19,788774.86
2018-02-20,796993.212
2018-02-21,802817.854
2018-02-22,816409.034
2018-02-23,822010.418
2018-02-24,738315.463
2018-02-25,682057.541
2018-02-26,809186.41
2018-02-27,854244.166
2018-02-28,838163.754
2018-03-01,828808.564
2018-03-02,828422.246
2018-03-03,718198.115
2018-03-04,661692.431
2018-03-05,792157.92
